,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,93570,2,3,6,9,9,13,13,14,17,20,21,25,25,25
1,72329,2,4,7,7,10,12,13,14,14,16,18,24,25,25
2,75538,3,3,4,5,5,9,9,11,12,12,13,16,18,23
3,93335,2,2,4,6,8,12,12,14,15,16,17,22,25,25
4,60320,2,3,4,5,6,10,11,12,14,15,17,22,22,23
5,52262,4,4,4,6,8,11,11,12,15,15,15,18,24,25
6,27689,2,3,3,5,6,10,10,10,11,14,15,24,24,25
7,80427,2,2,2,2,2,5,6,6,6,7,8,11,22,25
8,96812,3,3,3,4,5,9,9,10,11,11,11,12,17,25
9,12461,3,4,5,6,7,9,10,12,14,15,16,18,25,25
10,59566,4,5,6,7,9,13,14,16,18,20,20,20,22,25
11,93871,4,6,9,10,12,14,16,20,21,22,24,25,25,25
12,87728,3,5,8,9,11,13,15,16,18,20,20,24,25,25
13,90795,2,2,2,3,5,5,5,6,6,6,6,9,22,25
14,95538,5,6,8,9,10,14,16,17,20,22,24,25,25,25
15,20020,3,4,6,8,9,13,14,15,18,21,21,24,25,25
16,48825,4,5,7,9,10,12,12,12,12,13,14,16,18,25
17,84281,4,4,6,8,9,13,14,16,17,18,20,22,25,25
18,80450,3,4,6,8,9,13,14,16,18,18,20,24,24,25
19,88774,4,5,6,6,7,10,11,13,13,13,14,16,20,25
20,16973,2,3,4,4,4,4,4,4,4,4,4,4,4,9
21,80726,3,3,3,3,4,7,7,7,7,7,7,9,9,15
22,69983,2,3,4,7,7,11,12,13,15,17,17,21,23,25
23,31846,3,4,7,8,10,13,14,15,17,18,18,25,25,25
24,82536,4,4,7,8,9,13,13,16,17,18,20,22,25,25
25,14313,2,3,3,3,8,9,9,10,10,13,13,14,18,25
26,31208,2,2,5,7,11,14,16,18,20,21,21,25,25,25
27,30574,3,3,6,8,9,13,14,15,16,17,17,23,23,25
28,22902,5,5,7,9,10,14,15,16,16,16,17,21,22,25
