,student_id,checkpoint_no,duration,confidence,year,percentage_checkpoint,no_attempt,average_attempt,office_hours,is_passed
2399,60320,12,3.0,6,1,0.4166666666666667,0,1.4444444444444444,0,1
2400,27689,12,3.0,6,2,0.4583333333333333,0,1.3636363636363635,0,0
2401,96812,12,-1.0,-1,-1,0.2916666666666667,0,1.2857142857142858,0,0
2402,80450,12,1.0,7,4,0.5,0,1.1818181818181819,0,1
2403,82536,12,4.0,8,3,0.4583333333333333,0,1.2727272727272727,0,0
2404,69983,12,,8,1,0.4583333333333333,0,1.2,0,1
2405,80427,12,3.0,5,2,0.4166666666666667,0,1.7,0,0
2406,84281,12,,4,3,0.5,0,1.1818181818181819,0,1
2407,31846,12,1.0,8,1,0.5,0,1.1818181818181819,0,1
2408,88774,12,1.0,9,1,0.5,0,1.2727272727272727,0,1
2409,75538,12,1.0,8,1,0.4166666666666667,0,1.5,0,0
2410,59566,12,-1.0,-1,-1,0.4583333333333333,0,1.3,1,1
2411,93335,12,3.0,7,3,0.4166666666666667,0,1.4,0,0
2412,52262,12,-1.0,-1,-1,0.4583333333333333,0,1.8181818181818181,3,0
2413,30574,12,4.0,10,2,0.4583333333333333,0,1.2,0,1
2414,22902,12,2.0,8,1,0.75,1,1.8333333333333333,1,1
2415,82536,12,4.0,8,3,0.5,1,1.2727272727272727,0,1
2416,31208,12,-1.0,-1,-1,0.5,1,2.090909090909091,1,1
2417,93570,12,-1.0,-1,-1,0.4583333333333333,1,1.4,2,1
2418,27689,12,3.0,6,2,0.5,1,1.3636363636363635,0,1
2419,20020,12,-1.0,-1,-1,0.5,1,1.0909090909090908,2,1
2420,96812,12,-1.0,-1,-1,0.2916666666666667,1,1.2857142857142858,0,0
2421,14313,12,2.0,8,2,0.5,0,1.2727272727272727,0,1
2422,52262,12,-1.0,-1,-1,0.5,1,1.8181818181818181,3,1
2423,93335,12,3.0,7,3,0.4166666666666667,1,1.4,0,0
2424,96812,12,-1.0,-1,-1,0.2916666666666667,2,1.2857142857142858,0,0
2425,80427,12,3.0,5,2,0.4166666666666667,1,1.7,0,0
2426,90795,12,-1.0,-1,-1,0.375,1,2.0,0,1
2427,75538,12,1.0,8,1,0.4166666666666667,1,1.5,0,0
2428,75538,12,1.0,8,1,0.4583333333333333,2,1.5,0,1
2429,90795,13,-1.0,-1,-1,0.375,0,2.0,0,0
2430,93871,13,2.0,2,2,0.5416666666666666,0,1.25,0,1
2431,72329,13,3.0,7,2,0.5,0,1.6666666666666667,0,0
2432,20020,13,-1.0,-1,-1,0.5416666666666666,0,1.1666666666666667,1,1
2433,95538,13,-1.0,-1,-1,0.5416666666666666,0,1.1666666666666667,0,1
2434,87728,13,5.0,7,2,0.5416666666666666,0,1.1666666666666667,0,1
2435,31208,13,-1.0,-1,-1,0.5416666666666666,0,2.0833333333333335,1,1
2436,14313,13,2.0,8,2,0.5,0,1.25,0,0
2437,96812,13,-1.0,-1,-1,0.2916666666666667,0,1.2857142857142858,0,0
2438,31846,13,1.0,8,1,0.5,0,1.1666666666666667,0,0
2439,93570,13,-1.0,-1,-1,0.5,0,1.4545454545454546,2,1
2440,80450,13,1.0,7,4,0.5416666666666666,0,1.1666666666666667,0,1
2441,82536,13,4.0,8,3,0.5416666666666666,0,1.3333333333333333,0,1
2442,84281,13,,4,3,0.5416666666666666,0,1.1666666666666667,0,1
2443,69983,13,,8,1,0.4583333333333333,0,1.1818181818181819,0,0
2444,27689,13,3.0,6,2,0.5,0,1.4166666666666667,0,0
2445,60320,13,3.0,6,1,0.4166666666666667,0,1.4,0,0
2446,93335,13,3.0,7,3,0.4583333333333333,0,1.4,0,1
2447,75538,13,1.0,8,1,0.4583333333333333,0,1.6363636363636365,0,0
2448,30574,13,4.0,10,2,0.4583333333333333,0,1.1818181818181819,0,0
2449,59566,13,-1.0,-1,-1,0.5,0,1.2727272727272727,1,1
2450,80427,13,3.0,5,2,0.4166666666666667,0,1.7,0,0
