,ID,grade,checkpoint_total,1.1.1,1.2.1,1.3.1,1.4.1,1.5.1,1.6.1,1.7.1,1.8.1,2.1.1,2.2.1,2.3.1,2.4.1,2.5.1,2.6.1,2.7.1,2.8.1,3.1.1,3.2.1,3.3.1,3.4.1,3.5.1,4.1.1,4.2.1,4.4.1,4.3.1,webwork_1,webwork_2,webwork_3,webwork_4,webwork_5,webwork_6,webwork_7,webwork_8,webwork_9,webwork_10,webwork_11,webwork_12,webwork_13,WebWork total (Real).1,semester
0,47088,D,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,7,SP21 - 001
1,29436,A-,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12,SP21 - 001
2,18832,B,20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,10,SP21 - 001
3,36585,A,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,SP21 - 001
4,98539,B,20,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,11,SP21 - 001
5,19343,A,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12,SP21 - 001
6,62783,B+,21,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,SP21 - 001
7,83943,B+,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12,SP21 - 001
8,14772,A,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,SP21 - 001
9,38687,A,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,12,SP21 - 001
10,17830,A,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,12,SP21 - 001
11,31085,A,23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,SP21 - 001
