,ID,1,2,3,4,5,6,7,8,9,10,11,12,13
0,42371,3,5,5,8,10,13,15,15,15,17,20,22,25
1,65544,2,3,4,4,4,4,5,5,5,5,6,6,9
2,19343,2,4,6,7,8,10,13,14,15,18,20,22,25
3,16144,2,4,5,6,7,9,11,13,13,14,17,22,25
4,18832,2,2,5,5,7,7,7,7,7,7,7,8,11
5,52882,2,3,5,5,7,8,11,13,14,18,20,23,25
6,41981,3,5,6,8,10,12,13,14,15,18,22,22,25
7,77328,3,3,4,6,6,7,9,9,9,9,12,14,23
8,34064,2,3,5,5,7,8,11,12,12,12,13,14,18
9,37786,2,3,3,4,5,6,7,8,8,9,9,14,23
10,97692,3,4,6,8,10,10,13,15,16,17,18,23,25
11,38687,2,4,6,8,9,9,12,13,13,15,16,20,25
12,75683,2,3,6,6,6,7,10,11,12,14,15,18,23
13,17830,3,5,6,9,9,12,13,14,15,17,18,24,25
14,57894,3,3,5,6,7,8,13,14,16,18,20,21,25
15,58151,3,4,5,7,9,9,11,11,11,11,12,16,23
16,40230,2,3,4,5,8,8,10,14,15,17,20,20,25
17,15531,2,3,5,6,9,10,12,13,14,15,16,18,23
18,62252,2,2,2,3,3,4,5,6,7,12,15,20,25
19,13358,3,4,5,7,7,8,11,12,13,15,16,17,23
20,96431,2,3,3,4,5,5,8,9,9,9,9,9,15
21,68658,2,4,5,9,9,12,13,14,15,17,17,22,25
22,50867,4,5,6,6,7,8,10,13,13,14,15,22,25
23,14772,3,4,5,7,7,10,12,15,15,16,20,24,25
24,46516,3,3,5,5,6,6,8,8,9,10,12,12,21
25,32314,3,5,6,6,7,7,10,10,10,12,14,16,23
26,69434,2,4,6,8,10,10,12,15,16,16,17,18,25
27,62783,3,3,5,5,6,6,6,6,6,8,8,15,25
28,26815,2,4,4,5,6,7,8,8,10,10,11,16,25
29,46912,3,5,6,10,10,12,14,15,16,20,21,23,25
30,98626,3,3,3,5,5,9,14,14,14,14,16,23,25
31,77508,2,3,5,6,6,9,11,12,12,14,15,25,25
32,88009,3,5,6,6,6,9,13,14,18,20,21,23,25
33,16330,3,4,5,7,7,10,11,13,13,13,15,20,25
34,80334,4,5,7,9,9,10,13,14,16,20,20,23,25
35,96596,3,5,7,8,9,12,13,15,16,18,21,25,25
36,38873,2,2,2,2,2,2,5,5,5,5,5,8,9
37,78555,3,4,4,4,5,5,8,10,10,10,11,14,25
38,53854,3,4,7,10,10,12,13,16,17,18,20,25,25
39,67424,4,5,5,10,10,12,15,15,15,20,22,25,25
40,36834,3,4,6,8,9,9,13,14,14,17,18,22,25
41,58850,3,3,3,4,5,6,8,9,9,10,11,15,15
42,83943,2,3,3,4,4,4,9,9,11,11,13,16,25
43,36585,3,5,8,9,9,13,14,16,17,18,22,25,25
44,98539,3,4,5,5,6,7,10,11,12,13,13,14,18
45,65004,3,3,5,6,9,10,12,13,15,18,18,22,25
46,31085,3,4,4,5,6,7,9,9,9,9,10,11,18
47,50542,4,4,6,7,7,7,11,11,14,15,17,22,25
48,47088,3,4,6,8,10,11,13,13,14,16,17,17,23
49,30193,4,5,8,8,10,12,14,15,16,18,21,25,25
50,74608,3,4,4,6,6,9,12,12,13,13,13,15,23
51,60018,3,4,6,7,9,9,11,12,12,13,15,18,23
52,99444,2,2,5,8,9,9,12,13,14,14,17,22,25
53,44661,3,4,4,5,5,7,7,7,7,7,8,11,23
54,22902,3,4,6,7,8,9,12,13,14,15,16,16,25
55,44913,2,3,4,5,5,5,7,8,8,9,9,11,15
56,66810,3,4,5,6,7,9,13,13,14,17,18,22,25
57,29436,3,4,5,6,6,8,11,11,11,13,16,20,25
58,57725,2,3,3,5,10,13,13,14,16,18,18,22,23
